replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
30800,8.5631274e-07,7.422605e-07,-0.005968633,0.0059109153,0.010181536,0.0442249,-0.0063640918,0.005819333,0.010451994,0.046953633,-0.00734785,0.0054707173,0.010647401,0.041387733,-0.008202839,8.5631274e-07,1.1407955e-06,8.049512e-06,1.1977422e-09,7.422605e-07,2.768079e-06,3.097925e-05,2.2959954e-13,-0.14285715,0.98974335,1.0,-1.0,30800,62,500.0,0.0,500,500,5.72322967239461e-05,0.0002806897913320084,0.00378683206630831,7.771561172376096e-16,0.02861614836197305,0.018924251579054384,0.06058099594629444,0.008164023340590899,-0.13752374282595248,0.9518314161131871,1.0,-1.0,5,0.02861614836197305,27500,55,500.0,0.0,500,500,5.0174120106590835e-05,0.0003906416195904163,0.006456803228600827,3.7747582837255326e-16,0.025087060053295418,0.020177707083481003,0.05947314387859958,0.004835571654368638,0.025087060053295418,0.020177707083481003,0.05947314387859958,0.004835571654368638,-0.14285715,0.98974335,1.0,-1.0,5,0.025087060053295418,0.011023342000044067,57.21182984800089,68.66953323599955,0.01231096300034551,0.003586556000300334,3.1753434729998844,129.08362741800102,1444.251609274998,10
33300,5.272374e-07,5.261185e-07,-0.0056792693,0.006074549,0.010536815,0.042794365,-0.005578007,0.006047823,0.010380305,0.04202302,-0.0053925626,0.0057832263,0.010525164,0.042567898,-0.0059541375,5.2723743e-07,1.5876035e-06,1.3798216e-05,4.5931325e-10,5.261186e-07,1.4808304e-06,1.208932e-05,4.488646e-12,-0.14285715,0.98974335,1.0,-1.0,33300,67,500.0,0.0,500,500,3.725200552527154e-05,0.00022588492063006077,0.0034395301464973053,3.9968028886505636e-16,0.01862600276263577,0.008454724759173325,0.02905620977343616,0.004844201604528124,-0.13712992800611024,0.951805565362795,1.0,-1.0,5,0.01862600276263577,30000,60,500.0,0.0,500,500,0.00011659915293230092,0.0006323727906604629,0.012360384572326077,1.432187701766452e-15,0.05829957646615043,0.07735622038471081,0.21178790513763676,0.004627704066318888,0.05829957646615043,0.07735622038471081,0.21178790513763676,0.004627704066318888,-0.14285715,0.98974335,1.0,-1.0,5,0.05829957646615043,0.010998369999470015,121.5757197160001,61.976904505000675,0.009966872999939369,0.0035615649994724663,3.326867525000125,186.90401855399978,1631.1575017559985,11
35800,1.9327028e-06,1.9334846e-06,-0.007031848,0.0066706426,0.012366191,0.04515106,-0.00722281,0.006541469,0.012238358,0.04405688,-0.007105126,0.0067576477,0.012599,0.049782418,-0.0072277277,1.9327026e-06,1.5689577e-05,0.00017552017,7.088219e-13,1.9334846e-06,1.6512018e-05,0.00018626128,1.4751995e-11,-0.14285715,0.98974335,1.0,-1.0,35800,72,500.0,0.0,500,500,5.636524336657063e-05,0.00031412983692335523,0.00382639091227196,5.440092820663267e-16,0.0281826216832853,0.017576759133065875,0.060057165088076965,0.009051157518529664,-0.13799711880678098,0.9521819837071306,1.0,-1.0,5,0.0281826216832853,32500,65,500.0,0.0,500,500,6.470391410265125e-05,0.0003945987094573483,0.006670279044553418,7.216449660063518e-16,0.032351957051325625,0.021728217990661977,0.0594226403252852,0.008301916143968024,0.032351957051325625,0.021728217990661977,0.0594226403252852,0.008301916143968024,-0.14285715,0.98974335,1.0,-1.0,5,0.032351957051325625,0.010954637999930128,57.12232848399981,61.06319801200061,0.009929193000061787,0.00357194700063701,3.407717586999752,121.6176998610008,1752.7768737910005,12
38300,1.6498374e-05,9.336611e-06,-0.008237852,0.008288121,0.031100733,0.31838828,-0.0054447763,0.008361752,0.032479126,0.3352265,-0.0060374714,0.008196563,0.033732638,0.3567632,-0.006340873,1.6498374e-05,0.00013817796,0.0014726353,5.221446e-11,9.33661e-06,6.9370726e-05,0.0006403398,2.95009e-11,-0.14285715,0.98974335,1.0,-1.0,38300,77,500.0,0.0,500,500,0.00012767295350625006,0.0007089499358924814,0.012922530327461046,6.217248937900877e-16,0.06383647675312502,0.09045061392915457,0.24366657564749936,0.007799852180919396,-0.1367863024676053,0.9523832312961429,1.0,-1.0,5,0.06383647675312502,35000,70,500.0,0.0,500,500,2.9439638321358096e-05,0.00025345296628411716,0.005259766165697954,2.4424906541753446e-16,0.014719819160679048,0.014027458456519915,0.041347785986430435,0.002637961924062969,0.014719819160679048,0.014027458456519915,0.041347785986430435,0.002637961924062969,-0.14285715,0.98974335,1.0,-1.0,5,0.014719819160679048,0.011047693999898911,69.25430032500026,58.74187310800062,0.009882178999760072,0.004093423999620427,3.3031582020003043,131.32435493200046,1884.1028022990008,13
40800,4.8612947e-06,1.81511e-06,-0.008225962,0.009091541,0.03432454,0.3733604,-0.0074387696,0.009110133,0.03553168,0.3881456,-0.007211046,0.0096163,0.03635265,0.39523903,-0.0070231846,4.8612947e-06,4.2143776e-05,0.00047867445,4.561429e-13,1.81511e-06,5.5553123e-06,5.0316743e-05,1.2883371e-12,-0.14285715,0.98974335,1.0,-1.0,40800,82,500.0,0.0,500,500,9.017038774237853e-05,0.0004257505457323325,0.006366573248480479,4.551914400963142e-16,0.045085193871189234,0.0332487454599509,0.10078209894345125,0.006108076835374846,-0.1374194881534559,0.9518685325715678,1.0,-1.0,5,0.045085193871189234,37500,75,500.0,0.0,500,500,9.506332611124678e-05,0.0005808921778586084,0.010423412581254966,5.551115123125783e-17,0.04753166305562342,0.05965629508005947,0.1628978454267273,0.00045769246380832296,0.04753166305562342,0.05965629508005947,0.1628978454267273,0.00045769246380832296,-0.14285715,0.98974335,1.0,-1.0,5,0.04753166305562342,0.010888713999520405,65.62186113900043,58.21183128499979,0.01002528400022129,0.0035521899999366724,3.3471583020000253,127.20531691399992,2011.3097068529983,14
43300,6.4350684e-07,1.5360579e-06,-0.0045214673,0.004349056,0.011498586,0.051583204,-0.0064305775,0.0046931775,0.01197626,0.05454363,-0.0067074816,0.0045011723,0.011087998,0.05113508,-0.006139412,6.4350684e-07,2.0375421e-06,1.6144993e-05,2.7597404e-12,1.5360581e-06,5.277471e-06,3.948063e-05,2.3350965e-11,-0.14285715,0.98974335,1.0,-1.0,43300,87,500.0,0.0,500,500,6.015239009529615e-05,0.0003779383057230081,0.007815375263467495,4.551914400963142e-16,0.0300761950476481,0.022918989246872797,0.07344474620350219,0.012900298199404787,-0.13780881376622175,0.9523086537762155,1.0,-1.0,5,0.0300761950476481,40000,80,500.0,0.0,500,500,5.0678434487169325e-05,0.0003065827789491314,0.004892269559896023,7.327471962526034e-16,0.02533921724358465,0.0142355885190665,0.040588546951112824,0.006289333180179578,0.02533921724358465,0.0142355885190665,0.040588546951112824,0.006289333180179578,-0.14285715,0.98974335,1.0,-1.0,5,0.02533921724358465,0.010977989999446436,58.042830253999455,55.87021461899985,0.009962920000361919,0.0035311279998495593,3.3060423719998653,117.24355928299883,2128.554827936998,15
45800,5.6460453e-07,4.8203606e-07,-0.002024594,0.002007709,0.007116026,0.041388758,-0.006281374,0.0020911456,0.0070997924,0.041831426,-0.0061477916,0.0023315242,0.00748077,0.04187812,-0.0060175066,5.6460453e-07,1.9365655e-06,1.6416712e-05,1.7544565e-11,4.8203606e-07,1.5317352e-06,9.228778e-06,4.329369e-13,-0.14285715,0.98974335,1.0,-1.0,45800,92,500.0,0.0,500,500,3.624447346010194e-05,0.0002509751588172906,0.004625613625126157,6.772360450213455e-16,0.018122236730050964,0.015430020628557325,0.04816956543439935,0.005911562474302804,-0.13724064347701018,0.9522674140162342,1.0,-1.0,5,0.018122236730050964,42500,85,500.0,0.0,500,500,0.00013460006309599503,0.0007008691292567661,0.01459894109052623,3.175237850427948e-15,0.06730003154799752,0.05492260186606154,0.16528391539101878,0.020744445164849745,0.06730003154799752,0.05492260186606154,0.16528391539101878,0.020744445164849745,-0.14285715,0.98974335,1.0,-1.0,5,0.06730003154799752,0.010991165999257646,58.222723344999395,67.7985708490005,0.010075040000629087,0.0036105829994994565,2.9523682980006924,128.99833928099997,2257.554786381998,16
48300,1.881902e-06,1.2503767e-06,-0.004557778,0.004563871,0.00981703,0.042430744,-0.004818199,0.0042557865,0.009786133,0.04263686,-0.0051129386,0.0033671316,0.009873482,0.04069568,-0.0067419107,1.881902e-06,2.031628e-06,1.2310963e-05,5.309012e-08,1.2503767e-06,1.4258387e-06,1.0699642e-05,6.078646e-11,-0.14285715,0.98974335,1.0,-1.0,48300,97,500.0,0.0,500,500,4.582084225903193e-05,0.00027856013651276335,0.00515986993817682,7.549516567451065e-16,0.02291042112951597,0.018134243331026378,0.049204175673100335,0.006131884870900538,-0.13719266319856663,0.9520903131731537,1.0,-1.0,5,0.02291042112951597,45000,90,500.0,0.0,500,500,3.8659348095835384e-05,0.00022850954900427442,0.003939248868574508,3.3306690738754696e-16,0.019329674047917703,0.0072457954157402575,0.030310956911039275,0.008035930284181361,0.019329674047917703,0.0072457954157402575,0.030310956911039275,0.008035930284181361,-0.14285715,0.98974335,1.0,-1.0,5,0.019329674047917703,0.011113288000160537,57.415725075999944,57.39676730800056,0.010059487000035006,0.00357184899985441,3.116997344000083,117.95423435200064,2375.5106717899976,17
50800,1.6348858e-06,2.225298e-06,-0.008747401,0.009211715,0.0495462,0.55505824,-0.0046021678,0.009209143,0.049272258,0.5514091,-0.0046260217,0.009156693,0.050575037,0.56562287,-0.0052955924,1.6348861e-06,1.0023361e-05,0.000111611305,2.3155608e-11,2.225298e-06,1.7833105e-05,0.00020203042,8.3299695e-10,-0.14285715,0.98974335,1.0,-1.0,50800,102,500.0,0.0,500,500,7.902219005784101e-05,0.0004081843457051935,0.0068824408573124884,1.2101430968414207e-15,0.03951109502892049,0.024673226566660288,0.07927442843064611,0.009245546471861115,-0.13686685152554065,0.9517759623765163,1.0,-1.0,5,0.03951109502892049,47500,95,500.0,0.0,500,500,6.336464035457878e-05,0.0003647497895666971,0.005043107078419595,8.215650382226159e-16,0.03168232017728938,0.02328220686331539,0.06837079060208569,0.005287488921942445,0.03168232017728938,0.02328220686331539,0.06837079060208569,0.005287488921942445,-0.14285715,0.98974335,1.0,-1.0,5,0.03168232017728938,0.011122700999294466,56.229926942999555,56.17264248200081,0.010040976999334816,0.003627781000432151,3.129819339000278,115.5571802229997,2491.069421423998,18
53300,5.745515e-06,1.7935652e-06,-0.0075418605,0.007552195,0.04011757,0.41907585,-0.005369299,0.0077527263,0.040376794,0.4181159,-0.0044881906,0.007622568,0.041465227,0.4294885,-0.0052123773,5.745515e-06,4.3176784e-05,0.00047732308,6.9865585e-12,1.7935649e-06,1.1934698e-05,0.00012933594,4.437736e-12,-0.14285715,0.98974335,1.0,-1.0,53300,107,500.0,0.0,500,500,3.8893575749891104e-05,0.00018566306396529858,0.002725936042843047,6.994405055138487e-16,0.01944678787494556,0.006404725694191632,0.027404375699710465,0.010772258452952618,-0.13695226985057887,0.9518964370338033,1.0,-1.0,5,0.01944678787494556,50000,100,500.0,0.0,500,500,6.388972931975736e-05,0.00038896811388809856,0.007592961305311164,2.997602166487923e-16,0.03194486465987869,0.029802275708686373,0.08022339176696223,0.0042707875157717385,0.03194486465987869,0.029802275708686373,0.08022339176696223,0.0042707875157717385,-0.14285715,0.98974335,1.0,-1.0,5,0.03194486465987869,0.010989507999511261,65.51574399299989,57.73350525800015,0.009989647999645968,0.0036493899997367407,3.2005621319995043,126.47443992899844,2617.5454310849987,19
