replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
58,7.52084,7.539994,-2.7035518,-0.0005170496,0.0012410367,0.001895675,-0.0034509408,-0.0040145107,0.00083904574,-0.0014470685,-0.005457575,2.705414,0.4460691,3.5855105,1.910898,-2.7076406,0.40312982,-1.5654569,-3.7988362,0.00092356163,0.0017043463,0.0029860802,-0.0023887996,0.000106130625,0.0008455872,0.0014477842,-0.0016691573,0.9990004897117615,-0.0,58,12,5.0,0.0,5,5,0.05829989241588837,0.031194582529789745,0.2,0.04099344097858283,0.2914994620794419,0.06645638764165468,0.38537354949356056,0.2075224073616511,-0.032616325,0.6109761,0.98059934,-0.9886347,5,0.2914994620794419,25,5,5.0,0.0,5,5,0.038999424650173274,0.010076312069288837,0.0613094909578695,0.030514442372964235,0.19499712325086638,0.05020347510835871,0.2880553754784717,0.15257246420215473,0.19499712325086638,0.05020347510835871,0.2880553754784717,0.15257246420215473,0.00097146764,0.0018228432,0.0025456483,-0.0022081218,5,0.19499712325086638,0.00015103000623639673,199.44048312399536,550.8110173830064,0.001509948997409083,0.011890117995790206,7.17329537900514,757.4383469830063,1497.3301988919993,0
83,0.006803689,0.006525384,-4.5098734,1.7616032,0.025026407,1.8472457,1.7207572,1.7606707,0.02329933,1.8389246,1.7220995,1.7411966,0.07700625,1.929851,1.5479345,-2.7502155,0.25407612,-2.132141,-3.83335,0.0038819746,0.013563844,0.022107888,-0.017743453,-0.11744954,0.0048804255,-0.107783146,-0.13308972,0.3674122095108032,-6.752046585083008,83,17,5.0,0.0,5,5,0.07403685570295108,0.041254501110292684,0.2,0.033558947272593544,0.37018427851475544,0.12369859209129873,0.5523944489445851,0.16844544855575808,0.108539216,0.5405583,0.9491272,-0.9698328,5,0.37018427851475544,50,10,5.0,0.0,5,5,0.11556297956231519,0.0692849440145654,0.2,0.05152965426910864,0.5778148978115759,0.34640475889099026,1.0,0.25771850689328846,0.5778148978115759,0.34640475889099026,1.0,0.25771850689328846,0.0038161867,0.013505577,0.02109276,-0.016904546,5,0.5778148978115759,0.00015904600149951875,505.3671988499991,627.1122046579985,0.000975293994997628,0.00520327799313236,7.011110616993392,1139.4968517429807,2636.828636576989,1
108,0.0019175742,0.002136664,-4.372939,1.663125,0.05192838,1.8090523,1.4547839,1.6629266,0.04954984,1.770978,1.4421889,1.6740685,0.059695575,1.8575848,1.5425051,-2.713301,0.25853786,-2.0544114,-3.7539291,0.015424183,0.026032241,0.045103736,-0.037931606,-0.120704375,0.006978867,-0.10984443,-0.13906178,0.13516715168952942,-13.428245544433594,108,22,5.0,0.0,5,5,0.06182633034103845,0.03408260043930348,0.2,0.01147625317970722,0.3091316517051922,0.09397745711396481,0.44833321482738875,0.2102716627192246,0.07954515,0.5254852,0.9488394,-0.9515361,5,0.3091316517051922,75,15,5.0,0.0,5,5,0.09895070151697866,0.07518839407699164,0.2977770828785627,0.03526212655352619,0.4947535075848933,0.34219683358159,1.0977770828785627,0.17631352952465373,0.4947535075848933,0.34219683358159,1.0977770828785627,0.17631352952465373,0.016396815,0.02533597,0.03714025,-0.028412793,5,0.4947535075848933,0.00015884901222307235,411.4922991909989,598.6628049919964,0.0009482549940003082,0.006880190994706936,7.246670901004109,1017.4097623790003,3654.2399600519857,2
133,0.0014613947,0.0017825282,-4.3656287,1.6869707,0.06096091,1.8718166,1.5589931,1.6866932,0.06387622,1.8686229,1.5558554,1.6911471,0.065219246,1.9632306,1.5423021,-2.6801322,0.4060139,-0.67574555,-3.822554,0.05477528,0.14264832,0.79556876,-0.3792756,-0.09499003,0.027273063,-0.045619365,-0.17053375,0.04980802536010742,-20.03093719482422,133,27,5.0,0.0,5,5,0.05442352337746779,0.03128242110975562,0.2,0.03253408663384366,0.27211761688733893,0.0949140529001815,0.4467986446229116,0.16267308246495069,0.06237017,0.6238243,0.99288034,-0.9732609,5,0.27211761688733893,100,20,5.0,0.0,5,5,0.09723953694718843,0.07154309170805812,0.2,0.034937371978576895,0.4861976847359421,0.21424510966447055,0.8618069632600449,0.19942269409856828,0.4861976847359421,0.21424510966447055,0.8618069632600449,0.19942269409856828,0.062162265,0.07051183,0.21975292,-0.0849043,5,0.4861976847359421,0.00015610600530635566,403.0631819310074,640.5697882319946,0.0009994599968194962,0.005356632987968624,7.239283057002467,1050.8787654189946,4705.120464043983,3
158,0.003470248,0.0023487592,-2.2458246,1.7332487,0.08295139,1.9276072,1.590561,1.7291858,0.07932368,1.9151686,1.5927626,1.7218959,0.08734269,1.929762,1.4756129,-0.4529827,2.9770274,8.789151,-4.977165,0.4537493,0.86507815,2.1484938,-1.1958919,-0.2150231,0.18520175,0.15990096,-0.6135971,0.020351635292172432,-17.339317321777344,158,32,5.0,0.0,5,5,0.05918091136647931,0.015754697479105628,0.08265163094511492,0.035139171263137516,0.29590455683239647,0.07539649279931018,0.402194316267211,0.21015080518911303,-0.11996393,0.6592355,0.9902828,-0.9981812,5,0.29590455683239647,125,25,5.0,0.0,5,5,0.07735546858838789,0.057314567898235,0.2,0.002161318305608928,0.3867773429419395,0.12142773219703244,0.6071045101489191,0.2852821734370018,0.3867773429419395,0.12142773219703244,0.6071045101489191,0.2852821734370018,0.2690915,0.5162572,0.950348,-0.80208987,5,0.3867773429419395,0.00015546201029792428,497.75344855099684,629.7228144660039,0.0010071589931612834,0.005216117002419196,7.088202617000206,1134.5708443720068,5839.692918790985,4
183,0.01030548,0.010174801,1.4036815,1.7978022,0.1388423,2.6529796,1.4501551,1.7906811,0.13647842,2.471776,1.4436268,1.7778924,0.11234598,2.0673792,1.4361675,3.3290045,2.99719,8.2637825,-5.890028,-0.52803785,1.4103711,2.4202075,-2.4435592,-0.49950248,0.1527036,0.020569412,-0.81654656,0.011164932511746883,-3.01601505279541,183,37,5.0,0.0,5,5,0.051068932937274304,0.028956810826701054,0.09049489080619755,0.011926073817408612,0.2553446646863715,0.1443958158135812,0.4524550755517761,0.07383140055919246,-0.13464972,0.8011507,0.99778444,-0.9971149,5,0.2553446646863715,150,30,5.0,0.0,5,5,0.05172221973066808,0.015346579683862018,0.07288698889176895,0.027802673815646342,0.2586110986533404,0.07663753338610567,0.3643802399017201,0.14776073383407642,0.2586110986533404,0.07663753338610567,0.3643802399017201,0.14776073383407642,0.08201601,0.834758,0.991569,-0.9609025,5,0.2586110986533404,0.00014963200374040753,533.6348115860019,551.9228254509944,0.0012828369945054874,0.008743838989175856,7.038148356004967,1092.6059617009887,6932.300445010958,5
208,0.0025028903,0.0035435106,2.284166,1.8456193,0.11433723,2.2524173,1.6318858,1.8494724,0.121856056,2.3879483,1.6281939,1.8351277,0.1049179,2.1930866,1.609845,4.236512,2.3675451,10.916859,-1.9094326,0.4764291,1.5272356,2.7076154,-2.3838222,-0.55886436,0.2268641,0.11930927,-1.713106,0.007052370347082615,1.1717774868011475,208,42,5.0,0.0,5,5,0.07165421758401591,0.04950908110837891,0.3026231380501078,0.041695868468694566,0.35827108792007956,0.10291304296681954,0.5163412471554949,0.2084835261484923,0.21917768,0.8035235,0.99969625,-0.9766595,5,0.35827108792007956,175,35,5.0,0.0,5,5,0.08365020089346288,0.048481856596135686,0.24893758826868187,0.02238330527969239,0.4182510044673144,0.11194171860431848,0.5462866664012646,0.2089099789409164,0.4182510044673144,0.11194171860431848,0.5462866664012646,0.2089099789409164,0.2688541,0.7984424,0.98972094,-0.9603899,5,0.4182510044673144,0.00015230099961627275,760.6881806009915,719.6662244260078,0.0010251759958919138,0.005333274995791726,6.919000661000609,1487.2799164399912,8419.581920974946,6
233,0.0051824288,0.0043942533,2.6127226,1.9475236,0.14350913,2.2582464,1.468559,1.9378142,0.13989572,2.222512,1.4621035,1.9301853,0.14134672,2.3608704,1.453138,4.660858,3.1662023,11.213456,-2.592788,0.72040856,1.4646602,2.7562737,-2.535467,-0.68159264,0.3347628,0.21371762,-1.9299476,0.007370141334831715,3.2452075481414795,233,47,5.0,0.0,5,5,0.06745397467795526,0.010995294977491394,0.08104188410585925,0.052326982205054565,0.3372698733897763,0.054972965104731014,0.4051749004334454,0.26333576901728795,0.30924624,0.7677103,0.9976226,-0.9999206,5,0.3372698733897763,200,40,5.0,0.0,5,5,0.05598520660807288,0.007612929361450582,0.07788979129836066,0.04975130950335364,0.2799260330403644,0.03195290839828476,0.3417076661385633,0.2487586327105024,0.2799260330403644,0.03195290839828476,0.3417076661385633,0.2487586327105024,0.44839776,0.68381315,0.9985468,-0.982981,5,0.2799260330403644,0.00016426300862804055,677.5262501990073,643.1082900529873,0.0010045870003523305,0.00743213199893944,7.355446969988407,1327.998588203991,9747.582514368929,7
258,0.0043182136,0.0033733724,1.7584225,2.045413,0.14699583,2.549158,1.8092806,2.0427604,0.13192709,2.425065,1.7759205,2.0388074,0.13321558,2.391693,1.7707652,3.9246528,3.0736892,9.991843,-3.7497678,-0.29962477,1.5890911,2.7076201,-2.480097,-0.5658548,0.20388289,0.17084494,-1.5334721,0.008265376091003418,-0.3613482117652893,258,52,5.0,0.0,5,5,0.06854772158484698,0.03278667103635784,0.2,0.02718331724414924,0.34273860792423483,0.033441813680213754,0.3903837901000574,0.305098136216308,-0.26319334,0.8289402,0.99715805,-0.9965108,5,0.34273860792423483,225,45,5.0,0.0,5,5,0.06687936288603989,0.019913665846960863,0.0887756810929452,0.033823697606930825,0.3343968144301995,0.09950068613608289,0.4438669583337064,0.16911865369898055,0.3343968144301995,0.09950068613608289,0.4438669583337064,0.16911865369898055,-0.2240115,0.822849,0.9895493,-0.9884269,5,0.3343968144301995,0.00015288199938368052,623.8186862979928,710.7067081610003,0.0009937249997165054,0.007601345991133712,6.895648881007219,1341.4297912929906,11089.014081822912,8
283,0.015243368,0.011042377,2.0790653,2.103408,0.15482605,2.840227,1.6008459,2.0848076,0.15184778,2.8027093,1.5996331,2.0827498,0.14280255,2.5391948,1.5998436,4.283803,3.17812,15.601092,-3.0761058,0.15971941,1.5729259,3.649351,-2.614134,-0.65448457,0.33242902,0.1735456,-2.3021743,0.00776840141043067,1.3786864280700684,283,57,5.0,0.0,5,5,0.06647096351162901,0.015854609011540285,0.09048652032036508,0.04717750766250126,0.3323548175581451,0.07927300497610547,0.45229004323130545,0.23588986960968844,0.3559783,0.7544788,0.9996899,-0.99704915,5,0.3323548175581451,250,50,5.0,0.0,5,5,0.05048365010045653,0.02248239979761839,0.08753831554659168,0.02565123875741775,0.25241825050228267,0.10937751386603264,0.4376753249235418,0.13771724588222553,0.25241825050228267,0.10937751386603264,0.4376753249235418,0.13771724588222553,0.28367612,0.75103855,0.9995201,-0.9751932,5,0.25241825050228267,0.00015238599735312164,637.2388627610053,682.5599553990032,0.0013434360007522628,0.007902533994638361,6.820490817000973,1326.6287073330022,12415.6448623209,9
