replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.594208,21.647335,-4.6098795,0.0034010827,0.001677347,0.00797038,-0.0013489709,-0.0023602392,0.0013011366,0.0010792317,-0.005347768,4.6112766,0.60145277,6.092344,2.8670063,-4.612379,0.55869657,-2.989485,-5.7694674,0.00017243202,0.0016890207,0.004665871,-0.0024542771,0.00017782536,0.0013076221,0.003508982,-0.0022821499,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,-0.03293559676115794,0.017344986936241577,0.15699475232248322,-0.06097240589732116,-16.467798380578966,5.200440744559081,-7.503658782078602,-21.733491533189007,-0.0025921657,0.6254917,0.9989514,-0.9993485,5,-16.467798380578966,2500,5,500.0,0.0,500,500,-0.0766759446194222,0.016470165925252606,-0.04998545091212735,-0.09625240798867331,-38.33797230971113,8.234364011902327,-25.04566003518805,-47.921203654453095,-38.33797230971113,8.234364011902327,-25.04566003518805,-47.921203654453095,0.00010943287,0.0017662671,0.0040916824,-0.0014742388,5,-38.33797230971113,0.012599335983395576,82.6055688620545,62.659718342125416,0.011559139005839825,0.007996211294084787,7.515795363578945,152.81323725404218,261.7479317765683,0
8300,0.010779424,0.010902241,-7.489804,2.769794,0.04262949,2.8554535,2.6021004,2.7717965,0.045417745,2.882145,2.570742,2.7705903,0.11196387,3.1567564,2.4997013,-4.725875,0.28225288,-3.9455986,-5.711035,-0.0064927004,0.014759264,0.01786747,-0.038880084,-0.12612563,0.008716662,-0.10054004,-0.14125043,0.367401123046875,-11.729408264160156,8300,17,500.0,0.0,500,500,-0.05293355327336981,0.023547327178770967,0.022651558137156677,-0.09118898521500172,-26.466776636684916,10.401566890119888,-14.652085484490522,-39.07190832936803,-0.0044817924,0.5883374,0.9975854,-0.9971363,5,-26.466776636684916,5000,10,500.0,0.0,500,500,-0.048284011100973794,0.01968443281051323,-0.018567471207000825,-0.08073475428362362,-24.142005550486914,9.644792789005862,-16.065318380105744,-36.452317596606335,-24.142005550486914,9.644792789005862,-16.065318380105744,-36.452317596606335,-0.0062459144,0.014629239,0.01389681,-0.035999976,5,-24.142005550486914,0.012279990129172802,70.04880769597366,64.06309080682695,0.013130947947502136,0.008486128877848387,7.164802581071854,141.310598150827,403.06030173646286,1
10800,0.0018683883,0.0018884502,-7.265959,2.5015142,0.0372706,2.5941467,2.4109983,2.5024943,0.03668508,2.579494,2.405778,2.5032496,0.054197993,2.6285937,2.3876078,-4.767973,0.31515282,-4.082277,-6.19158,-0.0024486284,0.009620425,0.020831784,-0.017274532,-0.13101882,0.0076330476,-0.109352246,-0.1481635,0.1351606398820877,-23.539379119873047,10800,22,500.0,0.0,500,500,-0.04189213442621151,0.03079676031232145,0.04309729012951558,-0.08616732200498492,-20.946067213105756,14.385619958716187,-0.30568405255756664,-42.90197601740966,-0.0024842254,0.58551085,0.9960726,-0.99749964,5,-20.946067213105756,7500,15,500.0,0.0,500,500,-0.05628855329602565,0.024494854432844507,-0.02191031575770998,-0.09764113557768532,-28.144276648012813,12.245854666915081,-11.837908752618803,-48.52867748325,-28.144276648012813,12.245854666915081,-11.837908752618803,-48.52867748325,-0.002547238,0.009886654,0.018544992,-0.013912779,5,-28.144276648012813,0.012966424692422152,64.61869938811287,63.066425745841116,0.013397611677646637,0.008716177195310593,7.265118739102036,134.9853240866214,538.0473405481316,2
13300,0.00039231975,0.0004314949,-7.199357,2.4167113,0.0501859,2.5743356,2.2886643,2.4167979,0.0505398,2.5716195,2.2833364,2.4157991,0.050365712,2.557487,2.272958,-4.785531,0.29898846,-4.002901,-5.578593,-0.00018989039,0.010954421,0.020731691,-0.022413714,-0.10840084,0.0056052455,-0.09238364,-0.12340982,0.04972432553768158,-35.35967254638672,13300,27,500.0,0.0,500,500,-0.04374780565675322,0.013996159929304149,0.0031719761551741842,-0.0771097567108761,-21.87390282837661,5.270236021302495,-15.419903384678562,-28.18626460000492,0.0026507282,0.5966769,0.9996135,-0.9997599,5,-21.87390282837661,10000,20,500.0,0.0,500,500,-0.05049045775498312,0.014919888474509284,-0.02749386051425259,-0.07140205673226693,-25.245228877491563,7.2042488856645335,-14.762307397635688,-33.71790032661175,-25.245228877491563,7.2042488856645335,-14.762307397635688,-33.71790032661175,-0.00052590825,0.011249983,0.019108072,-0.017616343,5,-25.245228877491563,0.012678626924753189,66.28620941424742,60.22832496697083,0.011779055930674076,0.007447903044521809,7.5198954208754,134.0663353879936,672.1153069841675,3
15800,0.00037451112,0.00035695353,-7.065849,2.3486762,0.054443393,2.4878552,2.1856685,2.350038,0.054116048,2.485125,2.1892793,2.35225,0.056513652,2.4876018,2.1987038,-4.7194834,0.32660687,-3.8580017,-5.665076,-0.006303631,0.03345357,0.04831668,-0.09548975,-0.0928136,0.0072804545,-0.07601671,-0.11610508,0.018298109993338585,-46.87745666503906,15800,32,500.0,0.0,500,500,-0.03955432358068555,0.025465572766896313,0.025272845100794084,-0.09234779527273335,-19.777161790342777,11.80751452116144,-6.8328384115474945,-41.98038083392091,-0.009683588,0.60040087,0.99797237,-0.99587876,5,-19.777161790342777,12500,25,500.0,0.0,500,500,-0.01270130525621757,0.024640077596372555,0.01804203442655741,-0.0564435153872893,-6.350652628108783,8.724727576815221,0.9447218502010732,-22.95805108912734,-6.350652628108783,8.724727576815221,0.9447218502010732,-22.95805108912734,-0.0066635055,0.0332621,0.04177303,-0.081586465,5,-6.350652628108783,0.01273814495652914,68.33055571978912,68.3184980833903,0.0116630420088768,0.007129149977117777,7.535560872871429,144.21614501299337,816.3331412561238,4
