replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
58,7.734392,7.7228465,-2.7054012,-0.0015204329,0.0007505659,-0.0004187724,-0.002956852,0.00058412924,0.00079278264,0.0023758863,-0.0012709312,2.7432652,0.44777712,3.6403103,1.945364,-2.7069323,0.4039117,-1.5674375,-3.7966204,-0.00059582014,0.0018724803,0.0024415413,-0.0036515282,0.0006954564,0.0010619145,0.0021335222,-0.0012568876,0.9990004897117615,-0.0,58,12,5.0,0.0,5,5,0.08596550507891297,0.04946606281373403,0.2,0.018496457958696543,0.42982752539456487,0.08215845493372913,0.5174901206439972,0.2775753537798136,-0.033519994,0.6111718,0.98071766,-0.98878455,5,0.42982752539456487,25,5,5.0,0.0,5,5,0.1888032969669701,0.03809506255103335,0.2,0.049130801660761884,0.9440164848348506,0.06891186964259843,1.0,0.8491308016607619,0.9440164848348506,0.06891186964259843,1.0,0.8491308016607619,-0.0005740997,0.001904864,0.0020212606,-0.0034077647,5,0.9440164848348506,0.0001601879484951496,322.44353861303534,328.58255847904366,0.0009631940629333258,0.01083706400822848,7.210770908044651,658.2488284461433,1078.8020309059648,0
83,0.009673644,0.0101229325,-4.5588284,1.7937601,0.05002868,1.9625314,1.7017612,1.7986872,0.050192293,1.9492353,1.7067457,1.7686063,0.09264574,2.0027883,1.5658221,-2.7524831,0.30556378,-1.9996625,-3.7733538,-0.050904125,0.035164632,0.022589117,-0.13855807,-0.11681922,0.00915199,-0.104880884,-0.13760671,0.3674803078174591,-6.753066539764404,83,17,5.0,0.0,5,5,0.1093666434783956,0.05361511413179419,0.2,0.021230671331506735,0.546833217391978,0.09593665787892863,0.6620529075050732,0.4358266057767669,0.06621874,0.54620856,0.9459617,-0.97475004,5,0.546833217391978,50,10,5.0,0.0,5,5,0.05773040336098845,0.07115967579120835,0.2,0.01980212538127636,0.28865201680494224,0.008410553380108004,0.3008428100503595,0.2796510236524242,0.28865201680494224,0.008410553380108004,0.3008428100503595,0.2796510236524242,-0.064257056,0.027365468,-0.040985476,-0.1262379,5,0.28865201680494224,0.00015128497034311295,293.880071596941,315.20701564999763,0.0014115989906713367,0.007877142052166164,7.090583752957173,616.187111025909,1694.9908695447957,1
108,0.052377626,0.028054208,-3.920414,1.7571515,0.23037185,2.9081242,1.4624146,1.7405665,0.17144994,2.505411,1.4492792,1.7297117,0.10992858,2.5562773,1.4364015,-2.0886652,1.4005407,3.3173823,-5.073699,-0.19415358,0.37772006,0.19073203,-1.3377805,-0.14058429,0.06701733,-0.058277044,-0.30762774,0.13693362474441528,-12.10019302368164,108,22,5.0,0.0,5,5,0.0885851831437559,0.027337501336248515,0.2,0.009705219557590052,0.44292591571877943,0.014466546416732765,0.47185737690250523,0.43545120626890405,-0.044163246,0.57642084,0.94139117,-0.96058244,5,0.44292591571877943,75,15,5.0,0.0,5,5,0.13638080390831056,0.06826624747410781,0.2,0.024881955711413373,0.6819040195415529,0.04287897858911465,0.7231003339634366,0.6272613693514953,0.6819040195415529,0.04287897858911465,0.7231003339634366,0.6272613693514953,-0.13459839,0.26327938,0.16227208,-0.85050815,5,0.6819040195415529,0.00014997494872659445,370.2539338240167,292.4443734489614,0.0012397619429975748,0.006974013987928629,6.900584381073713,669.6072554049315,2364.6000815838343,2
133,0.0019583823,0.0025114957,-4.403064,1.75244,0.060720783,1.8940784,1.4918507,1.7573273,0.07041573,1.9766082,1.52019,1.7513282,0.061696608,1.8830541,1.5136638,-2.6566515,0.6167342,-0.802325,-4.4566636,-0.04731617,0.19828805,0.20808347,-0.7119192,-0.12758973,0.12794238,0.0016514156,-0.47861663,0.050186384469270706,-19.91017723083496,133,27,5.0,0.0,5,5,0.09258439518062046,0.053173470769615844,0.2,0.014224075191743036,0.4629219759031022,0.0513671266854941,0.5489026894751231,0.40347122040212685,-0.004687351,0.6297115,0.9820959,-0.97217166,5,0.4629219759031022,100,20,5.0,0.0,5,5,0.08082678270203504,0.08939376268118986,0.2,0.010918293161306415,0.4041339135101751,0.2980149642558854,1.0,0.24384215387559285,0.4041339135101751,0.2980149642558854,1.0,0.24384215387559285,-0.04188343,0.1474496,0.120181054,-0.58047575,5,0.4041339135101751,0.0001482389634475112,322.16125525103416,323.89471549598966,0.0009621529607102275,0.00526657304726541,6.822500581969507,652.8848482939648,3017.486734589911,3
158,0.009784353,0.008177872,-2.3771572,1.8005246,0.101307675,2.0354736,1.502336,1.8052151,0.108604304,2.1059892,1.5065653,1.8136446,0.15018807,2.603613,1.4899517,-0.5201064,2.26614,3.9518268,-5.5836954,-0.24708699,0.70476055,1.2795826,-2.020038,-0.36597666,0.48810956,0.098403044,-1.7679216,0.019847447052598,-17.7137508392334,158,32,5.0,0.0,5,5,0.09659944473769105,0.04060772956996737,0.2,0.03544514785400893,0.48299722368845527,0.058183757267628505,0.5594080621658377,0.4354997725701551,-0.1611081,0.6434495,0.99500906,-0.99652064,5,0.48299722368845527,125,25,5.0,0.0,5,5,0.11352617295814627,0.0671096044026442,0.28222758094503264,0.014035499766664284,0.5676308647907313,0.11367261043984338,0.744266563809639,0.47607658426932603,0.5676308647907313,0.11367261043984338,0.744266563809639,0.47607658426932603,-0.14724736,0.54692143,0.84173626,-0.95221555,5,0.5676308647907313,0.00014706503134220839,342.96118696499616,314.31916797102895,0.001065882039256394,0.0053216059459373355,6.811825204989873,664.0987146940315,3681.5870363259455,4
183,0.0029431693,0.0036225207,1.483896,1.9088662,0.09734936,2.1051087,1.509714,1.8989944,0.10284092,2.1803372,1.5062103,1.8901083,0.09598337,2.004646,1.5099987,3.4804738,2.153845,7.0402555,-2.4381237,0.26913625,1.2159675,1.8030214,-1.9823569,-0.96656996,0.8923042,-0.2123003,-2.9400294,0.011101418174803257,-2.3381428718566895,183,37,5.0,0.0,5,5,0.061180070278592354,0.0694685404775243,0.2,0.02084585130938158,0.3059003513929618,0.012641457171933379,0.3180257676390576,0.285238749978639,0.20648369,0.69919723,0.9978789,-0.99595815,5,0.3059003513929618,150,30,5.0,0.0,5,5,0.06403099366433844,0.06799279754909202,0.2,0.02745197591979183,0.3201549683216921,0.00375351851050518,0.323698058778486,0.31353314907608704,0.3201549683216921,0.00375351851050518,0.323698058778486,0.31353314907608704,0.214242,0.71265876,0.923425,-0.9618662,5,0.3201549683216921,0.0001501670340076089,300.4789342110744,309.06583046598826,0.0011149669298902154,0.005712428013794124,7.0631485159974545,616.6148907550378,4298.203486499959,5
208,0.014282538,0.011520998,1.623055,1.9836936,0.11178496,2.2814333,1.4999357,2.003031,0.11660983,2.3600569,1.5069554,2.0030065,0.14804165,2.993825,1.5304185,3.7027936,2.5473838,9.521042,-3.6961007,-0.43195254,1.1061984,2.1612544,-2.8334389,-1.2337161,0.9303879,0.93536216,-3.7766244,0.00861442368477583,-1.4129780530929565,208,42,5.0,0.0,5,5,0.21502593514412216,0.3010394566190911,1.0,0.01163454159817996,1.0751296757206106,0.9851563616434368,3.034494070137462,0.43651245760123236,-0.34613925,0.66563666,0.9965073,-0.99814713,5,1.0751296757206106,175,35,5.0,0.0,5,5,0.07951820173628883,0.09052683068668217,0.2,0.005250848260238961,0.39759100868144415,0.0529339803499349,0.4338165207573487,0.29239402096902495,0.39759100868144415,0.0529339803499349,0.4338165207573487,0.29239402096902495,-0.20374794,0.70769256,0.95928156,-0.9934472,5,0.39759100868144415,0.00014869601000100374,333.89578193204943,356.03980493196286,0.0010147950379177928,0.005295469076372683,6.74474878096953,696.6867946051061,4994.8920185508905,6
233,0.02888585,0.027413085,2.440927,2.1430995,0.18640952,2.7140849,1.6357486,2.1450906,0.19361886,2.7530723,1.6476573,2.0976408,0.2568779,3.0920506,1.5806391,4.740649,2.4030302,11.603695,0.017803669,-0.2789899,0.9455254,2.361307,-2.2654712,-1.8101263,0.94821227,-0.49345902,-3.8433435,0.00996196735650301,3.4138295650482178,233,47,5.0,0.0,5,5,0.3418180159086825,0.4162299435361047,1.0,0.012644485278605112,1.7090900795434123,0.708488284362454,2.429370668808618,0.38934542278425727,-0.30592385,0.56522524,0.97906965,-0.99165404,5,1.7090900795434123,200,40,5.0,0.0,5,5,0.3125071934666688,0.4313249363337081,1.0,0.011727576598075218,1.5625359673333439,0.685827527707393,2.098239836959704,0.3550625228021368,1.5625359673333439,0.685827527707393,2.098239836959704,0.3550625228021368,-0.13330914,0.65589523,0.991093,-0.9921397,5,1.5625359673333439,0.00014562101569026709,322.2657570380252,323.7124241599813,0.000972167938016355,0.005293537047691643,7.043834046926349,653.0284265709342,5647.922788675758,7
258,0.08687667,0.040002562,2.2385392,2.3188095,0.40753,3.6085088,1.3755517,2.2316787,0.33703887,3.2396798,1.3703806,2.2556067,0.3199499,3.448549,1.3225144,4.861337,2.5151002,10.69783,-1.3594911,-0.43811443,0.8801224,2.108971,-3.1906254,-1.9265466,0.9634912,-0.047358707,-4.033398,0.020291408523917198,3.35760760307312,258,52,5.0,0.0,5,5,0.35321847557733094,0.40912519643083706,1.0,0.010404646028470833,1.7660923778866546,0.5638286458396516,2.2677875627693704,0.8875716973748433,-0.32920098,0.5425045,0.9979628,-0.99846447,5,1.7660923778866546,225,45,5.0,0.0,5,5,0.4682274750134519,0.4736108069111899,1.0,0.017085195790470832,2.3411373750672597,0.4455958642937505,3.2236780355368815,2.057586965763077,2.3411373750672597,0.4455958642937505,3.2236780355368815,2.057586965763077,-0.31582573,0.59500265,0.96983564,-0.9979766,5,2.3411373750672597,0.00015091593377292156,314.4561222299235,322.7642856040038,0.001549837994389236,0.008529591956175864,6.888134293956682,644.1187724737683,6292.043199453503,8
283,0.028251989,0.032563753,2.0782754,2.5275476,0.38434207,3.415857,1.8116395,2.5221076,0.39777938,3.5678499,1.795984,2.4987147,0.42223513,3.8180654,1.742908,5.040626,2.560385,9.307735,-4.6042137,-0.41765305,1.0098264,2.606611,-2.3099504,-1.75366,0.992028,-0.14237866,-3.676969,0.03373764827847481,3.5274949073791504,283,57,5.0,0.0,5,5,0.29483805927038975,0.40061465302735016,1.0,0.023789205762164523,1.4741902963519484,0.9298068191273853,2.283143478963513,0.295257670772517,-0.3033402,0.6057541,0.99471074,-0.9892447,5,1.4741902963519484,250,50,5.0,0.0,5,5,0.5044036997329797,0.4440601619116257,1.0,0.01706037475857831,2.5220184986648984,0.2590210308340974,3.034189683704379,2.318677551374249,2.5220184986648984,0.2590210308340974,3.034189683704379,2.318677551374249,-0.25289825,0.664909,0.98774785,-0.98096895,5,2.5220184986648984,0.00015066296327859163,337.52306719799526,298.4159897599602,0.0014102569548413157,0.006431189947761595,6.740524773020297,642.6875738408417,6934.733075361466,9
